Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,IMDB_ID,Rating,Votes
Con Air,"$101,117,573","2,941","$101,117,573",Jun 6,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2253030913/,75000000,Action Crime Thriller,R,tt0118880,6.9,272174
Hercules,"$99,112,101","2,930","$99,112,101",Jun 15,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl240748033/,85000000,Adventure Animation Comedy Family Fantasy Musical Romance,,tt0119282,7.3,201541
Contact,"$99,040,239","2,314","$100,920,329",Jul 11,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3578430977/,90000000,Drama Mystery Sci-Fi Thriller,PG,tt0118884,7.4,249915
Jerry Maguire,"$88,276,775","2,531","$153,952,592",Dec 13,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl912098817/,50000000,Comedy Drama Romance Sport,R,tt0116695,7.3,239284
Scream 2,"$75,894,584","2,688","$101,363,301",Dec 12,"Dimension Films

",https://www.boxofficemojo.com/release/rl3597633025/,24000000,Horror Mystery,R,tt0120082,6.2,154327
Scream,"$74,888,488","1,994","$103,046,663",Dec 20,"Dimension Films

",https://www.boxofficemojo.com/release/rl3580855809/,14000000,Horror Mystery,R,tt0117571,7.2,280209
Dante's Peak,"$67,127,760","2,761","$67,127,760",Feb 7,"Universal Pictures

",https://www.boxofficemojo.com/release/rl810321409/,116000000,Action Adventure Thriller,PG-13,tt0118928,5.9,80304
Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,"$66,633,883","2,322","$67,597,694",Feb 21,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3396503041/,18000000,Action Adventure Fantasy Sci-Fi,PG,tt0080684,8.7,1136625
In & Out,"$63,856,929","2,452","$63,856,929",Sep 19,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2992342529/,35000000,Comedy Romance,PG-13,tt0119360,6.4,38092
Kiss the Girls,"$60,527,873","2,406","$60,527,873",Oct 3,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2807858689/,27000000,Crime Drama Mystery Thriller,R,tt0119468,6.6,64685
The Jackal,"$54,930,280","2,309","$54,930,280",Nov 14,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2354742785/,60000000,Action Crime Drama Thriller,R,tt0119395,6.4,104983
The English Patient,"$54,880,610","1,409","$78,676,425",Nov 15,"Miramax

",https://www.boxofficemojo.com/release/rl3964765697/,27000000,Drama Romance War,R,tt0116209,7.4,176042
Spawn,"$54,870,175","2,604","$54,870,175",Aug 1,"New Line Cinema

",https://www.boxofficemojo.com/release/rl3614475777/,40000000,Action Drama Horror,PG-13,tt0120177,5.3,63337
Starship Troopers,"$54,814,377","2,971","$54,814,377",Nov 7,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3144910337/,105000000,Action Adventure Sci-Fi Thriller,R,tt0120201,7.2,265529
Austin Powers: International Man of Mystery,"$53,883,989","2,187","$53,883,989",May 2,"New Line Cinema

",https://www.boxofficemojo.com/release/rl960857601/,16500000,Adventure Comedy,PG-13,tt0118655,7.0,218333
Breakdown,"$50,159,144","2,348","$50,159,144",May 2,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1934198273/,36000000,Crime Drama Mystery Thriller,R,tt0118771,6.9,48245
Evita,"$49,587,092","1,045","$50,047,179",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1917879809/,55000000,Biography Drama History Musical,PG,tt0116250,6.3,33681
Volcano,"$49,323,468","2,777","$49,323,468",Apr 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2440660481/,90000000,Action Drama Sci-Fi Thriller,PG-13,tt0120461,5.5,71177
Speed 2: Cruise Control,"$48,608,066","2,625","$48,608,066",Jun 13,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3312485889/,160000000,Action Adventure Crime Romance Thriller,PG-13,tt0120179,3.9,73777
Alien: Resurrection,"$47,795,658","2,449","$47,795,658",Nov 26,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3292562945/,75000000,Action Horror Sci-Fi,R,tt0118583,6.2,225329
Bean,"$45,319,423","2,015","$45,319,423",Oct 17,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl843351553/,18000000,Adventure Comedy Family,PG-13,tt0118689,6.5,96092
Cop Land,"$44,862,187","2,233","$44,862,187",Aug 15,"Miramax

",https://www.boxofficemojo.com/release/rl709723649/,15000000,Crime Drama Thriller,R,tt0118887,6.9,84862
Nothing to Lose,"$44,480,039","1,888","$44,480,039",Jul 18,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl4100425217/,25000000,Action Adventure Comedy Crime,R,tt0119807,6.7,43331
Star Wars: Episode VI - Return of the Jedi1997 Special Edition,"$44,125,486","2,111","$45,470,437",Mar 14,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3413280257/,32500000,Action Adventure Fantasy Sci-Fi,PG,tt0086190,8.3,931716
Soul Food,"$43,700,855","1,350","$43,700,855",Sep 26,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2154857985/,7500000,Comedy Drama,R,tt0120169,7.0,6865
The Devil's Own,"$42,868,348","2,504","$42,868,348",Mar 28,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1615627777/,90000000,Action Crime Drama Thriller,R,tt0118972,6.2,57818
Private Parts,"$41,230,799","2,217","$41,230,799",Mar 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3614148097/,28000000,Biography Comedy Drama,R,tt0119951,6.9,33526
The Peacemaker,"$41,183,406","2,420","$41,263,140",Sep 26,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl745047553/,50000000,Action Thriller,R,tt0119874,5.9,53284
The Full Monty,"$34,453,706",783,"$45,950,122",Aug 15,"Fox Searchlight Pictures

",https://www.boxofficemojo.com/release/rl72713729/,3500000,Comedy Drama,R,tt0119164,7.2,97546
Mousehunt,"$28,584,968","2,233","$61,917,389",Dec 19,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl2707785217/,38000000,Comedy,PG,tt0119715,6.5,50699
Boogie Nights,"$26,400,640","1,003","$26,400,640",Oct 10,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1128695297/,15000000,Drama,R,tt0118749,7.9,234850
Mimic,"$25,480,490","2,255","$25,480,490",Aug 22,"Miramax

",https://www.boxofficemojo.com/release/rl2153940481/,30000000,Horror Sci-Fi,R,tt0119675,6.0,45436
Midnight in the Garden of Good and Evil,"$25,105,255","1,312","$25,105,255",Nov 21,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3964962305/,35000000,Crime Drama Mystery Thriller,R,tt0119668,6.6,36339
Sling Blade,"$24,407,477","1,020","$24,444,121",Nov 29,"Miramax

",https://www.boxofficemojo.com/release/rl3312551425/,1000000,Drama,R,tt0117666,8.0,85916
As Good as It Gets,"$24,394,469","1,837","$148,478,011",Dec 23,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2185397761/,50000000,Comedy Drama Romance,PG-13,tt0119822,7.7,270844
Amistad,"$20,636,332","1,019","$44,229,441",Dec 10,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl2168686081/,36000000,Biography Drama History,R,tt0118607,7.3,70049
For Richer or Poorer,"$20,190,107","1,954","$31,642,995",Dec 12,"Universal Pictures

",https://www.boxofficemojo.com/release/rl980190721/,35000000,Comedy,PG-13,tt0119142,5.8,10018
Beavis and Butt-Head Do America,"$19,719,744","2,417","$63,118,386",Dec 20,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl88376833/,12000000,Adventure Animation Comedy Crime Music,PG-13,tt0115641,6.8,50800
Home Alone 3,"$19,236,073","2,261","$30,882,515",Dec 12,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3646522881/,32000000,Action Comedy Crime Family,PG,tt0119303,4.5,102964
Jackie Brown,"$17,571,207","1,642","$39,673,162",Dec 25,"Miramax

",https://www.boxofficemojo.com/release/rl4166682113/,12000000,Crime Drama Thriller,R,tt0119396,7.5,310655
An American Werewolf in Paris,"$13,867,313","1,731","$26,570,463",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2591589889/,25000000,Comedy Fantasy Horror Thriller,R,tt0118604,5.1,22924
The Man Who Knew Too Little,"$13,717,039","2,039","$13,717,039",Nov 14,"Warner Bros.

",https://www.boxofficemojo.com/release/rl258180609/,20000000,Comedy Crime Drama,PG,tt0120483,6.7,29681
Secrets & Lies,"$13,040,360",296,"$13,417,292",Sep 28,"October Films

",https://www.boxofficemojo.com/release/rl175015425/,4500000,Comedy Drama,R,tt0117589,8.0,36676
Turbulence,"$11,538,235","2,094","$11,538,235",Jan 10,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl779519489/,55000000,Action Thriller,R,tt0120390,4.9,10567
The Beautician and the Beast,"$11,486,880","1,801","$11,486,880",Feb 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl323257857/,16000000,Comedy Romance,PG,tt0118691,5.4,8425
Leave It to Beaver,"$10,925,060","1,885","$10,925,060",Aug 22,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3445589505/,15000000,Comedy Family,PG,tt0119509,5.2,3934
Mad City,"$10,541,523","2,194","$10,541,523",Nov 7,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1264616961/,50000000,Crime Drama Thriller,PG-13,tt0119592,6.3,18983
Mr. Magoo,"$10,045,114","1,857","$21,437,192",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2154137089/,30000000,Adventure Comedy Family,PG,tt0119718,4.0,14128
The Postman,"$9,473,737","2,207","$17,626,234",Dec 25,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1533773313/,80000000,Action Adventure Drama Sci-Fi,R,tt0119925,6.1,67913
Jingle All the Way,"$6,492,513","2,404","$60,592,389",Nov 22,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl241010177/,60000000,Adventure Comedy Family,PG,tt0116705,5.6,89601
Hamlet,"$4,560,835",93,"$4,708,156",Dec 27,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl894862849/,18000000,Drama,PG-13,tt0116477,7.7,35634
Kama Sutra: A Tale of Love,"$4,153,997",81,"$4,109,095",Feb 28,"Trimark Pictures

",https://www.boxofficemojo.com/release/rl3730671105/,3000000,Crime Drama History Romance,R,tt0116743,6.0,9814
Waiting for Guffman,"$2,923,982",59,"$2,923,982",Jan 31,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl4235822593/,4000000,Comedy,R,tt0118111,7.5,26462
Deconstructing Harry,"$2,420,000",445,"$10,686,841",Dec 12,"Fine Line Features

",https://www.boxofficemojo.com/release/rl3746334209/,20000000,Comedy,R,tt0118954,7.4,41883
Steel,"$1,710,972","1,260","$1,710,972",Aug 15,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4285761025/,16000000,Action Adventure Crime Fantasy Sci-Fi,PG-13,tt0120207,2.8,11061
The Godfather1997 Re-release,"$1,267,490",40,"$1,267,490",Mar 21,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1431602689/,6000000,Crime Drama,,tt0068646,9.2,1580220
The House of Yes,"$596,822",54,"$626,057",Oct 10,"Miramax

",https://www.boxofficemojo.com/release/rl1331201537/,1500000,Comedy Drama,R,tt0119324,6.6,7522
Prefontaine,"$589,304",201,"$589,304",Jan 24,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2691401217/,8000000,Biography Drama Romance Sport,PG-13,tt0119937,6.8,6806
Commandments,"$548,561",269,"$548,561",May 2,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl2471134721/,6000000,Comedy Drama Romance,R,tt0115927,5.5,1531
Dream with the Fishes,"$543,708",32,"$543,708",Jun 20,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl3159262721/,1000000,Comedy Drama,R,tt0119019,7.1,1691
Fargo,"$528,657",716,"$24,611,975",Mar 8,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl3260057089/,7000000,Crime Drama Thriller,R,tt0116282,8.1,603599
Dirty Dancing1997 Re-release,"$507,892",54,"$507,892",Aug 22,-,https://www.boxofficemojo.com/release/rl2488239617/,6000000,Drama Music Romance,,tt0092890,7.0,198345
The Whole Wide World,"$363,194",20,"$375,757",Dec 20,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl2138801665/,1300000,Biography Drama Romance,PG,tt0118163,7.0,3402
Albino Alligator,"$339,379",12,"$339,379",Jan 17,"Miramax

",https://www.boxofficemojo.com/release/rl3762324993/,6000000,Crime Drama Thriller,R,tt0115495,6.1,7509
Telling Lies in America,"$318,809",60,"$318,809",Oct 17,"Banner Entertainment

",https://www.boxofficemojo.com/release/rl3900016129/,4000000,Drama Music,PG-13,tt0120303,6.2,2081
Critical Care,"$221,193",34,"$221,193",Oct 31,"Artisan Entertainment

",https://www.boxofficemojo.com/release/rl1145931265/,12000000,Comedy Drama,R,tt0118901,5.9,1787
Kundun,"$150,201",439,"$5,684,789",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3747382785/,28000000,Biography Drama History War,PG-13,tt0119485,7.0,25981
Twin Town,"$127,923",18,"$127,923",May 9,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl2054587905/,3300000,Comedy Drama,,tt0120394,6.8,5496
Welcome to Sarajevo,"$116,758",15,"$334,319",Nov 26,"Miramax

",https://www.boxofficemojo.com/release/rl2826470913/,9000000,Drama War,R,tt0120490,6.8,6843
The Last Time I Committed Suicide,"$46,362",4,"$46,362",Jun 20,"Roxie Releasing

",https://www.boxofficemojo.com/release/rl2321516033/,4000000,Biography Romance,R,tt0119502,5.6,2029
Independence Day,"$13,178","2,977","$306,169,268",Jul 3,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2656798209/,75000000,Action Adventure Sci-Fi,PG-13,tt0116629,7.0,521459
Titanic,"$488,194,015","3,265","$600,788,188",Dec 19,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3698624001/,200000000,Drama Romance,PG-13,tt0120338,7.8,1026870
Armageddon,"$198,798,517","3,184","$201,578,182",Jul 1,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2973926913/,140000000,Action Adventure Sci-Fi Thriller,PG-13,tt0120591,6.7,390941
Saving Private Ryan,"$190,805,259","2,807","$216,540,909",Jul 24,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl3396044289/,70000000,Drama War,R,tt0120815,8.6,1209786
There's Something About Mary,"$174,422,745","2,555","$176,484,651",Jul 15,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl172000769/,23000000,Comedy Romance,R,tt0129387,7.1,287112
The Waterboy,"$147,895,431","2,782","$161,491,646",Nov 6,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2037941761/,23000000,Comedy Sport,PG-13,tt0120484,6.1,146404
Godzilla,"$136,314,294","3,310","$136,314,294",May 20,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2975106561/,130000000,Action Sci-Fi Thriller,PG-13,tt0120685,5.4,180155
Rush Hour,"$136,065,335","2,724","$141,186,864",Sep 18,"New Line Cinema

",https://www.boxofficemojo.com/release/rl577734145/,33000000,Action Comedy Crime Thriller,PG-13,tt0120812,7.0,235420
Lethal Weapon 4,"$130,444,603","3,117","$130,444,603",Jul 10,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1633584641/,140000000,Action Crime Thriller,R,tt0122151,6.7,151420
A Bug's Life,"$127,589,564","2,773","$162,798,565",Nov 20,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2420737537/,120000000,Adventure Animation Comedy Family,,tt0120623,7.2,262375
As Good as It Gets,"$124,083,542","1,837","$148,478,011",Dec 23,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2185397761/,50000000,Comedy Drama Romance,PG-13,tt0119822,7.7,270844
The Mask of Zorro,"$93,715,262","2,515","$94,095,523",Jul 17,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2573436417/,95000000,Action Adventure Comedy Romance Thriller Western,PG-13,tt0120746,6.7,166807
Enemy of the State,"$92,027,903","2,517","$111,549,836",Nov 20,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3914434049/,90000000,Action Thriller,R,tt0120660,7.3,224390
Antz,"$88,668,349","2,929","$90,757,863",Oct 2,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl2051180033/,105000000,Adventure Animation Comedy Family,PG,tt0120587,6.5,144784
The Rugrats Movie,"$86,430,992","2,832","$100,494,675",Nov 20,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3597436417/,24000000,Adventure Animation Comedy Drama Family Musical,,tt0134067,5.9,17874
The Wedding Singer,"$80,245,725","2,837","$80,245,725",Feb 13,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1148749313/,18000000,Comedy Music Romance,PG-13,tt0120888,6.8,132602
Lost in Space,"$69,117,629","3,306","$69,117,629",Apr 3,"New Line Cinema

",https://www.boxofficemojo.com/release/rl2220983809/,80000000,Action Adventure Family Sci-Fi Thriller,PG-13,tt0120738,5.2,68806
You've Got Mail,"$63,762,374","2,948","$115,821,495",Dec 18,"Warner Bros.

",https://www.boxofficemojo.com/release/rl894928385/,65000000,Comedy Drama Romance,PG,tt0128853,6.6,190964
Ever After: A Cinderella Story,"$61,413,264","2,067","$65,705,771",Jul 31,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl475039233/,26000000,Comedy Drama Romance,PG-13,tt0120631,7.0,68352
Snake Eyes,"$55,591,409","2,718","$55,591,409",Aug 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl342918657/,73000000,Crime Mystery Thriller,R,tt0120832,6.0,74836
What Dreams May Come,"$55,382,927","2,531","$55,382,927",Oct 2,"PolyGram

",https://www.boxofficemojo.com/release/rl4168648193/,85000000,Drama Fantasy Romance,PG-13,tt0120889,7.1,101105
The Prince of Egypt,"$55,106,631","3,218","$101,413,188",Dec 18,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl4067132929/,70000000,Adventure Animation Drama Family Fantasy Musical,PG,tt0120794,7.1,116364
Halloween H20: 20 Years Later,"$55,041,738","2,669","$55,041,738",Aug 7,"Dimension Films

",https://www.boxofficemojo.com/release/rl1029080577/,17000000,Horror Thriller,R,tt0120694,5.8,65053
Star Trek: Insurrection,"$53,895,383","2,677","$70,187,658",Dec 11,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2842920449/,58000000,Action Adventure Sci-Fi Thriller,PG,tt0120844,6.4,69606
Patch Adams,"$46,444,325","2,909","$135,026,902",Dec 25,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3597239809/,90000000,Biography Comedy Drama Romance,PG-13,tt0129290,6.8,103045
Practical Magic,"$46,404,796","2,652","$46,732,881",Oct 16,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2959836673/,75000000,Comedy Drama Fantasy Romance,PG-13,tt0120791,6.3,70951
Meet Joe Black,"$43,240,705","2,527","$44,619,100",Nov 13,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2086503937/,90000000,Drama Fantasy Romance,PG-13,tt0119643,7.2,211552
The Siege,"$39,908,508","2,582","$40,981,289",Nov 6,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1836156417/,70000000,Action Thriller,R,tt0133952,6.4,67598
Primary Colors,"$39,001,187","1,976","$39,001,187",Mar 20,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2238416385/,65000000,Comedy Drama,R,tt0119942,6.6,27075
I Still Know What You Did Last Summer,"$38,889,884","2,473","$40,002,112",Nov 13,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3430123009/,65000000,Horror Mystery,R,tt0130018,4.7,67700
Pleasantville,"$38,761,264","1,773","$40,584,421",Oct 23,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1047234049/,60000000,Comedy Drama Fantasy,PG-13,tt0120789,7.5,119886
How Stella Got Her Groove Back,"$37,672,941","1,399","$37,672,941",Aug 14,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2841150977/,20000000,Comedy Drama Romance,R,tt0120703,5.7,6773
Urban Legend,"$37,506,463","2,257","$38,072,438",Sep 25,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl813270529/,14000000,Horror Mystery Thriller,R,tt0146336,5.6,58947
Sphere,"$37,020,277","2,814","$37,020,277",Feb 13,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1047758337/,80000000,Action Mystery Sci-Fi Thriller,PG-13,tt0120184,6.1,98170
