Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA
The Lord of the Rings: The Fellowship of the Ring2011 Re-release,"$768,580",522,"$768,580",Jun 14,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4267804161/,93000000,Action Adventure Drama Fantasy,PG-13
The Lord of the Rings: The Two Towers2011 Re-release,"$764,607",522,"$764,607",Jun 21,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4284581377/,94000000,Action Adventure Drama Fantasy,PG-13
The Polar Express2011 IMAX Release,"$704,912",25,"$711,168",Nov 25,"Warner Bros.

",https://www.boxofficemojo.com/release/rl527140353/,165000000,Adventure Animation Comedy Family Fantasy Musical,
Mozart's Sister,"$681,429",36,"$707,885",Aug 19,"Music Box Films

",https://www.boxofficemojo.com/release/rl2674230785/,4500000,Biography Drama Music Romance,
Life as We Know It,"$647,338","3,150","$53,374,681",Oct 8,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3076425217/,38000000,Comedy Drama Romance,PG-13
The Greatest Movie Ever Sold,"$638,476",141,"$638,476",Apr 22,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl2573567489/,1800000,Comedy Documentary,PG-13
The Future,"$568,662",31,"$568,662",Jul 29,"Roadside Attractions

",https://www.boxofficemojo.com/release/rl1616217601/,1000000,Drama Fantasy Romance,R
Machine Gun Preacher,"$538,690",93,"$538,690",Sep 23,"Relativity Media

",https://www.boxofficemojo.com/release/rl1583384065/,30000000,Action Biography Crime Drama,R
Fair Game,"$492,302",436,"$9,540,691",Nov 5,"Summit Entertainment

",https://www.boxofficemojo.com/release/rl2437973505/,22000000,Biography Drama Thriller,PG-13
Circumstance,"$454,121",31,"$454,121",Aug 26,"Roadside Attractions

",https://www.boxofficemojo.com/release/rl4148921857/,1000000,Drama,R
Faster,"$440,154","2,470","$23,240,020",Nov 24,"CBS Films

",https://www.boxofficemojo.com/release/rl844334593/,24000000,Action Crime Drama Thriller,R
Despicable Me,"$430,945","3,602","$251,513,985",Jul 9,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2018477569/,69000000,Animation Comedy Family Fantasy,PG
Hesher,"$382,946",42,"$382,946",May 13,-,https://www.boxofficemojo.com/release/rl1767474689/,7000000,Comedy Crime Drama,R
Super,"$327,716",39,"$327,716",Apr 1,"IFC Films

",https://www.boxofficemojo.com/release/rl2222097921/,2500000,Action Comedy Drama,R
Winter's Bone,"$287,758",141,"$6,531,503",Jun 11,"Roadside Attractions

",https://www.boxofficemojo.com/release/rl2222687745/,2000000,Drama Mystery,R
Morning Glory,"$283,918","2,544","$31,011,732",Nov 10,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1449494017/,40000000,Comedy Drama Romance,PG-13
Brighton Rock,"$229,653",24,"$229,653",Aug 26,"IFC Films

",https://www.boxofficemojo.com/release/rl71927297/,12000000,Crime Drama Thriller,R
Legend of the Guardians: The Owls of Ga'Hoole,"$188,900","3,575","$55,675,313",Sep 24,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2539095553/,80000000,Action Adventure Animation Family Fantasy Mystery Thriller War,PG
Amigo,"$180,373",10,"$184,705",Aug 19,"Variance Films

",https://www.boxofficemojo.com/release/rl2386789889/,1500000,Drama War,R
Jackass 3D,"$176,809","3,139","$117,229,692",Oct 15,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2170193409/,20000000,Action Comedy Documentary,R
The Last Godfather,"$164,247",58,"$164,247",Apr 1,"Roadside Attractions

",https://www.boxofficemojo.com/release/rl3126822401/,13400000,Comedy Crime Romance,PG-13
Restless,"$164,030",126,"$163,265",Sep 16,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl2238547457/,8000000,Drama Romance,PG-13
3-D Sex and Zen: Extreme Ecstasy,"$153,215",10,"$153,215",Aug 12,"China Lion Film Distribution

",https://www.boxofficemojo.com/release/rl2926478849/,3500000,Comedy Drama,
Paranormal Activity 2,"$140,565","3,239","$84,752,907",Oct 22,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2607384065/,3000000,Horror Mystery,R
City of Life and Death,"$122,557",9,"$122,558",May 11,"Kino International

",https://www.boxofficemojo.com/release/rl3360392705/,12000000,Drama History War,R
Trust,"$120,016",28,"$120,016",Apr 1,"Millennium Entertainment

",https://www.boxofficemojo.com/release/rl3312944641/,4000000,Crime Drama Thriller,R
The Warrior's Way,"$106,945","1,622","$5,666,340",Dec 3,"Relativity Media

",https://www.boxofficemojo.com/release/rl444106241/,42000000,Action Fantasy Western,R
Fireflies in the Garden2011 Re-release,"$70,600",14,"$70,600",Oct 14,-,https://www.boxofficemojo.com/release/rl2488501761/,8000000,Drama,R
Get Low,"$66,527",570,"$9,176,933",Jul 30,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl4065691137/,7000000,Drama Mystery,PG-13
Hereafter,"$62,486","2,424","$32,746,941",Oct 15,"Warner Bros.

",https://www.boxofficemojo.com/release/rl5867009/,50000000,Drama Fantasy Romance,PG-13
For Colored Girls,"$60,494","2,127","$37,729,698",Nov 5,"Lionsgate

",https://www.boxofficemojo.com/release/rl1481803265/,21000000,Drama,R
The Tempest,"$54,290",21,"$277,943",Dec 10,"Miramax

",https://www.boxofficemojo.com/release/rl3967124993/,20000000,Comedy Drama Fantasy Romance,PG-13
Margaret,"$46,495",14,"$46,495",Sep 30,"Fox Searchlight Pictures

",https://www.boxofficemojo.com/release/rl1633912321/,14000000,Drama,R
The Next Three Days,"$46,412","2,564","$21,148,651",Nov 19,"Lionsgate

",https://www.boxofficemojo.com/release/rl677873153/,30000000,Action Crime Drama Romance Thriller,PG-13
Every Day,"$46,029",4,"$46,029",Jan 14,"Image Entertainment

",https://www.boxofficemojo.com/release/rl189826561/,3000000,Comedy Drama Romance,R
The Town,"$31,225","2,935","$92,186,262",Sep 17,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1685554689/,37000000,Crime Drama Thriller,R
Redemption Road,"$29,384",26,"$29,384",Aug 26,"Freestyle Releasing

",https://www.boxofficemojo.com/release/rl1835894273/,2300000,Drama,PG-13
Salvation Boulevard,"$28,468",4,"$28,468",Jul 15,"IFC Films

",https://www.boxofficemojo.com/release/rl1483703809/,5500000,Comedy Crime Drama Thriller,R
Waiting for Forever,"$25,517",14,"$25,517",Feb 4,"Freestyle Releasing

",https://www.boxofficemojo.com/release/rl4219045377/,5000000,Comedy Drama Romance,PG-13
You Will Meet a Tall Dark Stranger,"$22,251",402,"$3,248,246",Sep 22,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl1198884353/,22000000,Comedy Drama Romance,R
Inception,"$18,007","3,792","$292,576,195",Jul 16,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2908456449/,160000000,Action Adventure Sci-Fi Thriller,PG-13
5 Days of War,"$17,479",6,"$17,479",Aug 19,"Anchor Bay Films

",https://www.boxofficemojo.com/release/rl3628172801/,12000000,Action Drama War,R
The Polar Express2010 IMAX Release,"$11,923",17,"$672,796",Dec 3,"Warner Bros.

",https://www.boxofficemojo.com/release/rl510363137/,165000000,Adventure Animation Comedy Family Fantasy Musical,
Carlos,"$11,575",7,"$145,526",Oct 15,"IFC Films

",https://www.boxofficemojo.com/release/rl1363707393/,18000000,Biography Crime Drama Thriller,
Blood Ties,"$2,760",1,"$2,760",Feb 11,-,https://www.boxofficemojo.com/release/rl1028032001/,20000,Action,
The Girl with the Dragon Tattoo,"$2,371",202,"$10,095,170",Mar 19,"Music Box Films

",https://www.boxofficemojo.com/release/rl89425409/,13000000,Crime Drama Mystery Thriller,R
The Tunnel,"$1,532",1,"$1,532",Aug 5,"Blackrock Films

",https://www.boxofficemojo.com/release/rl678856193/,135000,Horror Mystery Thriller,
Redneck Carnage,$325,1,$706,Oct 29,-,https://www.boxofficemojo.com/release/rl1500349953/,20000,Horror,
The Avengers,"$623,357,910","4,349","$623,357,910",May 4,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl709199361/,220000000,Action Adventure Sci-Fi,PG-13
The Dark Knight Rises,"$448,139,099","4,404","$448,139,099",Jul 20,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3745875457/,250000000,Action Adventure,PG-13
The Hunger Games,"$408,010,692","4,137","$408,010,692",Mar 23,"Lionsgate

",https://www.boxofficemojo.com/release/rl4049110529/,78000000,Action Adventure Sci-Fi Thriller,PG-13
Skyfall,"$290,904,271","3,526","$304,360,277",Nov 9,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1346799105/,200000000,Action Adventure Thriller,PG-13
The Twilight Saga: Breaking Dawn - Part 2,"$286,422,893","4,070","$292,324,737",Nov 16,"Lionsgate

",https://www.boxofficemojo.com/release/rl3276178945/,120000000,Adventure Drama Fantasy Romance,PG-13
The Amazing Spider-Man,"$262,030,663","4,318","$262,030,663",Jul 3,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl930317825/,230000000,Action Adventure Sci-Fi,PG-13
Brave,"$237,259,676","4,164","$237,283,207",Jun 22,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl910460417/,185000000,Adventure Animation Comedy Family Fantasy,PG
Ted,"$218,815,487","3,303","$218,815,487",Jun 29,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2255848961/,50000000,Comedy,R
Madagascar 3: Europe's Most Wanted,"$216,391,482","4,263","$216,391,482",Jun 8,"DreamWorks

",https://www.boxofficemojo.com/release/rl1415611905/,145000000,Adventure Animation Comedy Family,PG
The Lorax,"$214,030,500","3,769","$214,030,500",Mar 2,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2858518017/,70000000,Adventure Animation Comedy Drama Family Fantasy Musical,PG
Men in Black 3,"$179,020,854","4,248","$179,020,854",May 25,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1298302465/,225000000,Action Adventure Comedy Sci-Fi,PG-13
Wreck-It Ralph,"$175,990,019","3,752","$189,422,889",Nov 2,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl242058753/,165000000,Adventure Animation Comedy Family Fantasy,PG
Ice Age: Continental Drift,"$161,139,599","3,886","$161,321,843",Jul 13,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3327690241/,95000000,Adventure Animation Comedy Family Fantasy,PG
Snow White and the Huntsman,"$155,332,381","3,777","$155,332,381",Jun 1,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2054194689/,170000000,Action Adventure Drama Fantasy,PG-13
Hotel Transylvania,"$145,321,690","3,375","$148,313,048",Sep 28,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl5801473/,85000000,Animation Comedy Family Fantasy,PG
Taken 2,"$138,936,379","3,706","$139,854,287",Oct 5,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1651869185/,45000000,Action Thriller,PG-13
21 Jump Street,"$138,447,667","3,148","$138,447,667",Mar 16,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1564575233/,42000000,Action Comedy Crime,R
Lincoln,"$134,189,097","2,293","$182,207,973",Nov 9,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3814622721/,65000000,Biography Drama History War,PG-13
Prometheus,"$126,477,084","3,442","$126,477,084",Jun 8,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1063945729/,130000000,Adventure Mystery Sci-Fi,R
Safe House,"$126,373,434","3,121","$126,373,434",Feb 10,"Universal Pictures

",https://www.boxofficemojo.com/release/rl107972097/,85000000,Action Thriller,R
The Vow,"$125,014,030","3,038","$125,014,030",Feb 10,"Screen Gems

",https://www.boxofficemojo.com/release/rl2541323777/,30000000,Drama Romance,PG-13
Magic Mike,"$113,721,571","3,120","$113,721,571",Jun 29,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2657125889/,7000000,Comedy Drama,R
The Bourne Legacy,"$113,203,870","3,753","$113,203,870",Aug 10,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2521204225/,125000000,Action Adventure Thriller,PG-13
Argo,"$108,720,920","3,247","$136,025,503",Oct 12,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1178764801/,44500000,Biography Drama Thriller,R
Journey 2: The Mysterious Island,"$103,860,290","3,500","$103,860,290",Feb 10,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1079870977/,79000000,Action Adventure Family Fantasy Sci-Fi,PG
Flight,"$91,978,551","2,638","$93,772,375",Nov 2,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1062372865/,31000000,Drama Thriller,R
Think Like a Man,"$91,547,205","2,052","$91,547,205",Apr 20,"Screen Gems

",https://www.boxofficemojo.com/release/rl1853130241/,12000000,Comedy Romance,PG-13
Rise of the Guardians,"$91,337,659","3,672","$103,412,758",Nov 21,"DreamWorks

",https://www.boxofficemojo.com/release/rl2304214529/,145000000,Action Adventure Animation Comedy Family Fantasy Sci-Fi,PG
Mission: Impossible - Ghost Protocol,"$87,050,578","3,555","$209,397,903",Dec 16,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1365411329/,145000000,Action Adventure Thriller,PG-13
Life of Pi,"$85,639,816","2,946","$124,987,023",Nov 21,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2640217601/,120000000,Adventure Drama Fantasy,PG
The Expendables 2,"$85,028,192","3,355","$85,028,192",Aug 17,"Lionsgate

",https://www.boxofficemojo.com/release/rl1431340545/,100000000,Action Adventure Thriller,R
Wrath of the Titans,"$83,670,083","3,545","$83,670,083",Mar 30,"Warner Bros.

",https://www.boxofficemojo.com/release/rl977962497/,150000000,Action Adventure Fantasy,PG-13
Dark Shadows,"$79,727,149","3,755","$79,727,149",May 11,"Warner Bros.

",https://www.boxofficemojo.com/release/rl72123905/,150000000,Comedy Fantasy Horror,PG-13
John Carter,"$73,078,100","3,749","$73,078,100",Mar 9,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2002617857/,250000000,Action Adventure Sci-Fi,PG-13
Les Misérables,"$72,967,240","2,927","$148,809,770",Dec 25,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1952351745/,61000000,Drama History Musical Romance War,PG-13
Act of Valor,"$70,012,847","3,053","$70,012,847",Feb 24,"Relativity Media

",https://www.boxofficemojo.com/release/rl2118157825/,12000000,Action Adventure Thriller War,R
Django Unchained,"$68,605,611","3,012","$162,805,434",Dec 25,"The Weinstein Company

",https://www.boxofficemojo.com/release/rl3662644737/,100000000,Drama Western,R
Contraband,"$66,528,000","2,870","$66,528,000",Jan 13,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3427436033/,25000000,Action Crime Drama Thriller,R
Looper,"$66,475,042","2,993","$66,486,205",Sep 28,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl3059844609/,30000000,Action Drama Sci-Fi Thriller,R
Madea's Witness Protection,"$65,653,242","2,161","$65,653,242",Jun 29,"Lionsgate

",https://www.boxofficemojo.com/release/rl1130399233/,20000000,Comedy Crime Drama,PG-13
Battleship,"$65,422,625","3,702","$65,422,625",May 18,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3259336193/,209000000,Action Adventure Sci-Fi Thriller,PG-13
Mirror Mirror,"$64,935,167","3,618","$64,935,167",Mar 30,"Relativity Media

",https://www.boxofficemojo.com/release/rl1953531393/,85000000,Adventure Comedy Drama Family Fantasy,PG
Chronicle,"$64,575,175","2,908","$64,575,175",Feb 3,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2487977473/,12000000,Drama Sci-Fi Thriller,PG-13
Pitch Perfect,"$64,427,368","2,787","$65,001,093",Sep 28,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3949495809/,17000000,Comedy Music Romance,PG-13
Underworld Awakening,"$62,321,039","3,078","$62,321,039",Jan 20,"Screen Gems

",https://www.boxofficemojo.com/release/rl2172028417/,70000000,Action Fantasy Horror,R
The Dictator,"$59,650,222","3,014","$59,650,222",May 16,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2958001665/,65000000,Comedy,R
Total Recall,"$58,877,969","3,601","$58,877,969",Aug 3,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl58164737/,125000000,Action Adventure Sci-Fi Thriller,PG-13
Titanic2012 3D Release,"$57,884,114","3,674","$57,884,114",Apr 4,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3715401217/,200000000,Drama Romance,PG-13
American Reunion,"$57,011,521","3,203","$57,011,521",Apr 6,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2739111425/,50000000,Comedy,R
ParaNorman,"$55,995,988","3,455","$56,003,051",Aug 17,"Focus Features

",https://www.boxofficemojo.com/release/rl4067001857/,60000000,Adventure Animation Comedy Family Fantasy Mystery,PG
This Means War,"$54,760,791","3,189","$54,760,791",Feb 17,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1249150465/,65000000,Action Comedy Romance,PG-13
Paranormal Activity 4,"$53,886,994","3,412","$53,885,000",Oct 19,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2640938497/,5000000,Horror Mystery,R
The Devil Inside,"$53,261,944","2,551","$53,261,944",Jan 6,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1716487681/,1000000,Horror,R
The Girl with the Dragon Tattoo,"$52,177,103","2,950","$102,515,793",Dec 21,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl55870977/,90000000,Crime Drama Mystery Thriller,R
Ghost Rider: Spirit of Vengeance,"$51,774,002","3,174","$51,774,002",Feb 17,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3595929089/,57000000,Action Fantasy Thriller,PG-13
The Grey,"$51,580,236","3,208","$51,580,236",Jan 27,"Open Road Films (II)

",https://www.boxofficemojo.com/release/rl3143075329/,25000000,Action Adventure Drama Thriller,R
Red Tails,"$49,876,377","2,573","$49,876,377",Jan 20,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1265468929/,58000000,Action Drama History War,PG-13
The Possession,"$49,130,154","2,860","$49,130,154",Aug 31,"Lionsgate

",https://www.boxofficemojo.com/release/rl3142551041/,14000000,Horror Mystery Thriller,PG-13
Diary of a Wimpy Kid: Dog Days,"$49,008,662","3,401","$49,008,662",Aug 3,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2692449793/,22000000,Comedy Family,PG
Sinister,"$48,061,556","2,542","$48,086,903",Oct 12,"Lionsgate

",https://www.boxofficemojo.com/release/rl2591131137/,3000000,Horror Mystery Thriller,R
Beauty and the Beast2012 3D Release,"$47,617,067","2,625","$47,617,067",Jan 13,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl256148993/,25000000,Animation Family Fantasy Musical Romance,
Jack Reacher,"$47,550,642","3,352","$80,070,736",Dec 21,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2758182401/,60000000,Action Thriller,PG-13
Savages,"$47,382,068","2,635","$47,382,068",Jul 6,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2758772225/,45000000,Crime Drama Thriller,R
The Best Exotic Marigold Hotel,"$46,412,041","1,298","$46,412,041",May 4,"Fox Searchlight Pictures

",https://www.boxofficemojo.com/release/rl2504295937/,10000000,Comedy Drama Romance,PG-13
Moonrise Kingdom,"$45,512,466",924,"$45,512,466",May 25,"Focus Features

",https://www.boxofficemojo.com/release/rl1701152257/,16000000,Comedy Drama Romance,PG-13
Alvin and the Chipmunks: Chipwrecked,"$44,959,546","3,734","$133,110,742",Dec 16,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1766032897/,75000000,Adventure Animation Comedy Family Musical,G
The Three Stooges,"$44,338,224","3,482","$44,338,224",Apr 13,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2876540417/,30000000,Comedy Family,PG
War Horse,"$43,532,682","2,856","$79,884,879",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl880313857/,66000000,Action Adventure Drama History War,PG-13
Red Dawn,"$43,468,052","2,781","$44,806,783",Nov 21,"FilmDistrict

",https://www.boxofficemojo.com/release/rl1785562625/,65000000,Action Drama,PG-13
