Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,IMDB_ID
Panic,"$42,328",11,"$779,137",Dec 1,"Roxie Releasing

",https://www.boxofficemojo.com/release/rl3043591681/,1000000,Comedy Crime Drama,R,tt0194218
Committed,"$40,361",13,"$40,361",Apr 28,"Miramax

",https://www.boxofficemojo.com/release/rl2504689153/,3000000,Comedy Drama,R,tt0144142
The Boondock Saints,"$30,471",5,"$30,471",Jan 21,"Indican Pictures

",https://www.boxofficemojo.com/release/rl3175515649/,6000000,Action Crime Thriller,R,tt0144117
Harry Potter and the Sorcerer's Stone,"$288,516,414","3,672","$317,575,550",Nov 16,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1416332801/,125000000,Adventure Family Fantasy,PG,tt0241527
Shrek,"$267,665,011","3,715","$267,665,011",May 16,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl7439873/,60000000,Adventure Animation Comedy Family Fantasy,PG,tt0126029
"Monsters, Inc.","$237,466,244","3,649","$255,873,250",Nov 2,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2070251009/,115000000,Adventure Animation Comedy Family Fantasy,G,tt0198781
Rush Hour 2,"$226,164,286","3,118","$226,164,286",Aug 3,"New Line Cinema

",https://www.boxofficemojo.com/release/rl795837953/,90000000,Action Comedy Crime Thriller,PG-13,tt0266915
The Mummy Returns,"$202,019,785","3,553","$202,019,785",May 4,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3580200449/,98000000,Action Adventure Fantasy Thriller,PG-13,tt0209163
Pearl Harbor,"$198,542,554","3,255","$198,542,554",May 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl543720961/,140000000,Action Drama History Romance War,PG-13,tt0213149
Jurassic Park III,"$181,171,875","3,462","$181,171,875",Jul 18,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3210577409/,93000000,Action Adventure Sci-Fi Thriller,PG-13,tt0163025
Planet of the Apes,"$179,737,919","3,530","$180,011,740",Jul 27,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3379070465/,100000000,Action Adventure Sci-Fi Thriller,PG-13,tt0133152
Hannibal,"$165,092,268","3,292","$165,092,268",Feb 9,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl357991937/,87000000,Crime Drama Thriller,R,tt0212985
The Lord of the Rings: The Fellowship of the Ring,"$163,871,215","3,381","$313,364,114",Dec 19,"New Line Cinema

",https://www.boxofficemojo.com/release/rl4200695297/,93000000,Action Adventure Drama Fantasy,PG-13,tt0120737
American Pie 2,"$145,103,595","3,157","$145,103,595",Aug 10,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2604893697/,30000000,Comedy,R,tt0252866
The Fast and the Furious,"$144,533,925","2,899","$144,533,925",Jun 22,"Universal Pictures

",https://www.boxofficemojo.com/release/rl928220673/,38000000,Action Crime Thriller,PG-13,tt0232500
Ocean's Eleven,"$132,148,523","3,075","$183,417,150",Dec 7,"Warner Bros.

",https://www.boxofficemojo.com/release/rl409372161/,85000000,Crime Thriller,PG-13,tt0240772
Lara Croft: Tomb Raider,"$131,168,070","3,349","$131,168,070",Jun 15,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1767867905/,115000000,Action Adventure Fantasy Thriller,PG-13,tt0146316
Cast Away,"$123,211,641","3,061","$233,632,142",Dec 22,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2772993537/,90000000,Adventure Drama Romance,PG-13,tt0162222
"Crouching Tiger, Hidden Dragon","$116,297,316","2,027","$128,078,872",Dec 8,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl2739766785/,17000000,Action Adventure Fantasy Romance,PG-13,tt0190332
Dr. Dolittle 2,"$112,952,899","3,053","$112,952,899",Jun 22,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1112442369/,70000000,Comedy Family Fantasy,PG,tt0240462
Spy Kids,"$112,719,001","3,191","$112,719,001",Mar 30,"Miramax

",https://www.boxofficemojo.com/release/rl1903396353/,35000000,Action Adventure Comedy Family Sci-Fi,PG,tt0227538
The Princess Diaries,"$108,164,921","2,749","$108,248,956",Aug 3,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl4033578497/,26000000,Comedy Family Romance,G,tt0247638
The Others,"$96,522,687","2,843","$96,522,687",Aug 10,"Miramax

",https://www.boxofficemojo.com/release/rl711558657/,17000000,Horror Mystery Thriller,PG-13,tt0230600
Legally Blonde,"$96,520,674","2,725","$96,520,674",Jul 13,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl861832705/,18000000,Comedy Romance,,tt0250494
America's Sweethearts,"$93,607,673","3,011","$93,607,673",Jul 20,"Revolution Studios

",https://www.boxofficemojo.com/release/rl2940438017/,46000000,Comedy Romance,PG-13,tt0265029
Cats & Dogs,"$93,385,515","3,040","$93,385,515",Jul 4,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2370340353/,60000000,Action Comedy Family Fantasy,PG,tt0239395
Atlantis: The Lost Empire,"$84,056,472","3,071","$84,056,472",Jun 8,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3628238337/,120000000,Action Adventure Animation Family Fantasy Sci-Fi,PG,tt0230011
A.I. Artificial Intelligence,"$78,616,689","3,242","$78,616,689",Jun 29,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2504033793/,100000000,Drama Sci-Fi,PG-13,tt0212720
Along Came a Spider,"$74,078,174","2,573","$74,078,174",Apr 6,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2101577217/,60000000,Drama Thriller,R,tt0164334
What Women Want,"$72,624,146","3,092","$182,811,707",Dec 15,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3849881089/,70000000,Comedy Fantasy Romance,PG-13,tt0207201
Bridget Jones's Diary,"$71,543,427","2,547","$71,543,427",Apr 13,"Miramax

",https://www.boxofficemojo.com/release/rl340362753/,25000000,Comedy Drama Romance,R,tt0243155
Scary Movie 2,"$71,308,997","3,220","$71,308,997",Jul 4,"Miramax

",https://www.boxofficemojo.com/release/rl4050617857/,45000000,Comedy Horror,R,tt0257106
The Score,"$71,107,711","2,211","$71,107,711",Jul 13,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3698296321/,68000000,Action Crime Drama Thriller,R,tt0227445
Swordfish,"$69,772,969","2,688","$69,772,969",Jun 8,"Warner Bros.

",https://www.boxofficemojo.com/release/rl141919745/,102000000,Action Crime Thriller,R,tt0244244
Vanilla Sky,"$68,620,163","2,842","$100,618,344",Dec 14,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl209290753/,68000000,Fantasy Mystery Romance Sci-Fi Thriller,R,tt0259711
Shallow Hal,"$68,352,745","2,799","$70,839,203",Nov 9,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2238612993/,40000000,Comedy Drama Fantasy Romance,PG-13,tt0256380
Chocolat,"$68,038,305","1,928","$71,509,363",Dec 15,"Miramax

",https://www.boxofficemojo.com/release/rl3209397761/,25000000,Drama Romance,PG-13,tt0241303
The Mexican,"$66,845,033","3,162","$66,845,033",Mar 2,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl1516406273/,57000000,Adventure Comedy Crime Romance,R,tt0236493
Miss Congeniality,"$65,033,094","2,668","$106,807,667",Dec 22,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3848439297/,45000000,Action Comedy Crime Romance,PG-13,tt0212346
Down to Earth,"$64,186,502","2,521","$64,186,502",Feb 16,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1984857601/,49000000,Comedy Fantasy,PG-13,tt0231775
Spy Game,"$60,840,050","2,770","$62,362,560",Nov 21,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2138277377/,115000000,Action Crime Thriller,R,tt0266987
The Wedding Planner,"$60,400,856","2,785","$60,400,856",Jan 26,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1131972097/,35000000,Comedy Romance,PG-13,tt0209475
The Animal,"$57,743,291","2,788","$57,743,062",Jun 1,"Revolution Studios

",https://www.boxofficemojo.com/release/rl1044547073/,47000000,Comedy Sci-Fi,PG-13,tt0255798
Moulin Rouge!,"$57,039,601","2,283","$57,386,607",May 18,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2942666241/,50000000,Drama Musical Romance,PG-13,tt0203009
A Knight's Tale,"$56,569,702","2,980","$56,569,702",May 11,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2270987777/,65000000,Action Adventure Romance,PG-13,tt0183790
Don't Say a Word,"$54,916,382","2,842","$55,001,642",Sep 28,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl625903105/,50000000,Drama Mystery Thriller,R,tt0260866
Blow,"$52,990,775","2,249","$52,990,775",Apr 6,"New Line Cinema

",https://www.boxofficemojo.com/release/rl893814273/,53000000,Biography Crime Drama,R,tt0221027
Exit Wounds,"$51,758,599","2,830","$51,758,599",Mar 16,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1733330433/,50000000,Action Crime Thriller,R,tt0242445
Enemy at the Gates,"$51,401,758","1,724","$51,401,758",Mar 16,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl4082206209/,68000000,Drama History War,R,tt0215750
K-PAX,"$50,295,015","2,581","$50,338,485",Oct 26,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3982263809/,68000000,Drama Mystery Sci-Fi,PG-13,tt0272152
Behind Enemy Lines,"$50,215,028","2,844","$58,856,790",Nov 30,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1380222465/,40000000,Action Drama Thriller War,PG-13,tt0159273
Jimmy Neutron: Boy Genius,"$45,701,766","3,151","$80,936,232",Dec 21,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl173901313/,30000000,Action Adventure Animation Comedy Family Sci-Fi,,tt0268397
Zoolander,"$45,104,133","2,522","$45,172,250",Sep 28,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl897418753/,28000000,Comedy,PG-13,tt0196229
Domestic Disturbance,"$44,723,385","2,910","$45,246,095",Nov 2,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl860784129/,75000000,Crime Thriller,PG-13,tt0249478
Thir13en Ghosts,"$41,867,960","2,781","$41,867,960",Oct 26,"Warner Bros.

",https://www.boxofficemojo.com/release/rl507610625/,42000000,Fantasy Horror,R,tt0245674
